plate_map_name	well_position	control_type	broad_sample	mg_per_ml	mmoles_per_liter	solvent	BRD ID	BRD with batch	Common Name	MoA
S-C-7314-04-CMP-001	A01		BRD-K62391742-001-19-9	4.342195	5	DMSO	K62391742	BRD-K62391742-001-03-0	venetoclax	BCL inhibitor
S-C-7314-04-CMP-001	A02		BRD-K19477839-001-10-9	1.79704	5	DMSO	K19477839	BRD-K19477839-001-07-6	SGX523	hepatocyte growth factor receptor inhibitor
S-C-7314-04-CMP-001	A03		BRD-K54759182-003-09-8	1.659515	5	DMSO	K54759182	BRD-K54759182-003-08-0	dosulepin	tricyclic antidepressant
S-C-7314-04-CMP-001	A04		BRD-K70642949-001-06-9	2.3129525	5	DMSO	K70642949	BRD-K70642949-001-04-5	GSK2334470	phosphoinositide dependent kinase inhibitor
S-C-7314-04-CMP-001	A05		BRD-K73397362-001-09-9	2.603124	5	DMSO	K73397362	BRD-K73397362-001-06-6	purmorphamine	smoothened receptor agonist
S-C-7314-04-CMP-001	A06		BRD-K13606314-001-02-9	1.741125	5	DMSO	K13606314	BRD-K13606314-001-01-3	P5091	ubiquitin specific protease inhibitor
S-C-7314-04-CMP-001	A07		BRD-K82941592-238-06-9	2.61816	5	DMSO	K82941592	BRD-K82941592-238-03-7	rosuvastatin	HMGCR inhibitor
S-C-7314-04-CMP-001	A08		BRD-K86718786-001-03-9	1.4916985	5	DMSO	K86718786	BRD-K86718786-001-03-9	SGC-707	protein arginine N-methyltransferase inhibitor
S-C-7314-04-CMP-001	A09		BRD-K02965346-001-01-8	2.840435	5	DMSO	K02965346	BRD-K02965346-001-07-5	SU-11274	hepatocyte growth factor receptor inhibitor
S-C-7314-04-CMP-001	A10		BRD-K36234266-001-10-6	1.07025	5	DMSO	K36234266	BRD-K36234266-001-09-8	carmustine	DNA inhibitor
S-C-7314-04-CMP-001	A11		BRD-K72898849-001-03-9	2.54692	5	DMSO	K72898849	BRD-K72898849-001-01-8	BLU9931	FGFR inhibitor
S-C-7314-04-CMP-001	A12		BRD-A87435144-001-01-6	2.39435	5	DMSO	A87435144	BRD-A87435144-001-01-6	AZD7545	pyruvate dehydrogenase kinase inhibitor
S-C-7314-04-CMP-001	A13		BRD-K94455792-001-01-8	2.743158	5	DMSO	K94455792	BRD-K94455792-001-01-8	ICG-001	beta-catenin inhibitor
S-C-7314-04-CMP-001	A14		BRD-K01826510-001-09-9	1.87452	5	DMSO	K01826510	BRD-K01826510-300-06-9	hydroxyzine	antihistamine
